Estado,Gênero,Idade,Cor_Raça,Nível_Educação,Código_Ocupação,Renda_Mensal,Horas_Trabalhadas_Semana,Posição_Ocupacional,Atividade_Principal,Carteira_Assinada,Anos_Estudo
11,1,31,4,5.0,9311.0,5000.0,40.0,6.0,2.0,,12.0
11,2,50,4,7.0,3221.0,3500.0,36.0,4.0,9.0,,16.0
11,2,55,1,7.0,2341.0,3500.0,30.0,4.0,9.0,,16.0
11,1,36,4,3.0,5141.0,3000.0,40.0,6.0,10.0,,9.0
11,1,33,1,5.0,7112.0,3000.0,40.0,6.0,3.0,,12.0
11,1,33,4,5.0,4110.0,2500.0,44.0,3.0,9.0,1.0,12.0
11,1,60,2,5.0,9112.0,2600.0,40.0,4.0,8.0,,12.0
11,1,38,4,7.0,8322.0,3000.0,40.0,4.0,9.0,,16.0
11,2,62,4,3.0,9111.0,800.0,30.0,1.0,11.0,2.0,9.0
11,1,43,1,7.0,2151.0,5800.0,40.0,3.0,7.0,1.0,16.0
11,2,38,1,7.0,2631.0,4500.0,40.0,3.0,2.0,1.0,16.0
11,1,28,4,5.0,3313.0,5500.0,40.0,6.0,7.0,,12.0
11,2,49,4,7.0,2611.0,10000.0,40.0,6.0,7.0,,16.0
11,1,55,3,5.0,7112.0,400.0,8.0,6.0,3.0,,12.0
11,1,47,1,7.0,2310.0,17000.0,40.0,4.0,9.0,,16.0
11,2,42,1,7.0,2413.0,11000.0,40.0,4.0,8.0,,16.0
11,1,49,1,7.0,4110.0,20000.0,40.0,4.0,8.0,,16.0
11,2,35,4,7.0,2152.0,7000.0,40.0,3.0,2.0,1.0,16.0
11,2,31,4,5.0,3221.0,5000.0,44.0,4.0,9.0,,12.0
11,2,47,4,7.0,2261.0,6000.0,40.0,4.0,9.0,,16.0
11,1,49,1,7.0,2261.0,6000.0,40.0,4.0,9.0,,16.0
11,2,36,4,6.0,5221.0,10000.0,44.0,6.0,4.0,,15.0
11,1,41,4,3.0,8332.0,5000.0,44.0,6.0,5.0,,9.0
11,1,43,4,2.0,8332.0,3000.0,44.0,6.0,5.0,,5.0
11,2,16,4,3.0,5223.0,1500.0,48.0,3.0,4.0,1.0,9.0
11,2,34,1,7.0,2611.0,3000.0,48.0,5.0,7.0,,16.0
11,2,17,1,4.0,5230.0,600.0,24.0,3.0,4.0,2.0,10.0
11,1,53,2,7.0,1346.0,7000.0,40.0,3.0,7.0,1.0,16.0
11,1,57,1,6.0,7233.0,3000.0,60.0,6.0,4.0,,14.0
11,1,33,4,5.0,9334.0,1600.0,48.0,3.0,4.0,2.0,12.0
11,2,27,4,5.0,5230.0,1600.0,44.0,3.0,4.0,1.0,12.0
11,2,60,4,2.0,5120.0,400.0,20.0,6.0,6.0,,5.0
11,1,27,4,3.0,7411.0,1320.0,40.0,4.0,8.0,2.0,9.0
11,1,38,4,4.0,5223.0,2640.0,40.0,3.0,4.0,1.0,11.0
11,2,31,4,7.0,3221.0,1900.0,40.0,3.0,9.0,2.0,16.0
11,1,56,1,7.0,2619.0,15000.0,44.0,3.0,7.0,2.0,16.0
11,2,49,4,7.0,3411.0,6000.0,44.0,3.0,7.0,1.0,16.0
11,2,24,4,5.0,5312.0,1200.0,40.0,3.0,9.0,2.0,12.0
11,1,21,4,5.0,5311.0,650.0,20.0,3.0,9.0,2.0,12.0
11,2,54,4,5.0,5153.0,1500.0,40.0,4.0,9.0,,12.0
11,1,61,1,2.0,8322.0,2000.0,56.0,6.0,5.0,,8.0
11,1,22,1,5.0,7512.0,1500.0,44.0,3.0,2.0,1.0,12.0
11,1,16,1,3.0,4321.0,700.0,20.0,3.0,4.0,1.0,9.0
11,2,23,4,5.0,4120.0,1400.0,40.0,3.0,7.0,1.0,12.0
11,1,24,1,5.0,7112.0,1500.0,40.0,3.0,3.0,2.0,13.0
11,1,52,4,5.0,8350.0,10000.0,60.0,3.0,5.0,1.0,12.0
11,2,38,4,5.0,3251.0,1320.0,56.0,3.0,9.0,1.0,12.0
11,1,19,4,4.0,3251.0,1320.0,44.0,3.0,9.0,1.0,11.0
11,1,23,4,5.0,9112.0,1600.0,40.0,3.0,2.0,1.0,12.0
11,2,49,4,5.0,7318.0,1500.0,40.0,6.0,2.0,,12.0
11,1,55,2,5.0,8332.0,1000.0,60.0,3.0,5.0,2.0,12.0
11,1,41,4,5.0,5414.0,2100.0,36.0,3.0,7.0,1.0,12.0
11,2,33,4,2.0,9111.0,480.0,10.0,1.0,11.0,2.0,8.0
11,2,60,3,5.0,5221.0,600.0,44.0,6.0,4.0,,12.0
11,2,54,4,5.0,5120.0,2200.0,20.0,4.0,9.0,,12.0
11,2,28,2,1.0,9111.0,600.0,38.0,1.0,11.0,2.0,0.0
11,1,61,3,2.0,7318.0,300.0,40.0,6.0,2.0,,4.0
11,1,24,4,2.0,7124.0,2800.0,40.0,6.0,3.0,,8.0
11,2,49,1,5.0,3257.0,2500.0,75.0,3.0,2.0,1.0,12.0
11,1,53,2,5.0,3257.0,5000.0,60.0,3.0,2.0,1.0,12.0
11,1,22,2,5.0,4321.0,1970.0,40.0,3.0,2.0,1.0,12.0
11,1,19,1,5.0,3257.0,800.0,20.0,3.0,7.0,2.0,12.0
11,2,37,4,6.0,3334.0,0.0,30.0,6.0,7.0,,15.0
11,1,44,4,7.0,3411.0,8000.0,40.0,4.0,8.0,,16.0
