Estado,Gênero,Idade,Cor_Raça,Nível_Educação,Código_Ocupação_TI,Renda_Mensal,Horas_Trabalhadas_Semana,Posição_Ocupacional,Atividade_Principal,Carteira_Assinada,Anos_Estudo
11,1,30,4,5.0,3514,1700.0,40.0,6.0,7.0,,12.0
11,1,33,4,7.0,3513,3000.0,51.0,3.0,4.0,1.0,16.0
11,2,45,1,7.0,3521,3000.0,40.0,6.0,7.0,,16.0
11,1,44,1,7.0,3521,3000.0,40.0,6.0,7.0,,16.0
11,1,15,1,2.0,7421,200.0,20.0,3.0,10.0,2.0,7.0
11,1,33,4,7.0,2511,5000.0,40.0,4.0,8.0,,16.0
11,1,44,4,7.0,1330,6000.0,30.0,4.0,8.0,1.0,16.0
11,1,36,4,5.0,7422,1412.0,44.0,3.0,7.0,1.0,13.0
11,1,23,4,7.0,3511,2500.0,40.0,3.0,7.0,1.0,16.0
11,1,29,4,7.0,2529,5000.0,40.0,4.0,8.0,,16.0
11,1,30,4,7.0,2511,1900.0,40.0,6.0,7.0,,16.0
11,1,30,4,5.0,7422,2200.0,44.0,3.0,7.0,1.0,13.0
11,1,52,4,5.0,7422,5000.0,40.0,3.0,7.0,1.0,12.0
11,1,30,4,5.0,7421,2000.0,44.0,6.0,10.0,,12.0
11,1,39,4,2.0,7421,1320.0,44.0,6.0,10.0,,1.0
11,1,32,1,6.0,3114,1400.0,40.0,3.0,3.0,2.0,14.0
11,1,27,1,4.0,7422,1412.0,44.0,3.0,7.0,1.0,11.0
11,1,29,4,5.0,7422,2000.0,44.0,6.0,10.0,,12.0
11,1,32,1,7.0,2511,2500.0,44.0,3.0,4.0,1.0,16.0
11,2,65,4,5.0,3511,4000.0,30.0,4.0,8.0,,12.0
11,1,35,1,5.0,3113,4000.0,44.0,3.0,3.0,1.0,12.0
11,1,42,2,7.0,3513,15000.0,44.0,3.0,4.0,1.0,16.0
11,2,24,4,5.0,2166,1600.0,30.0,6.0,7.0,,12.0
11,1,26,4,5.0,7422,1500.0,30.0,6.0,10.0,,12.0
11,2,38,1,7.0,2151,7000.0,30.0,3.0,3.0,1.0,16.0
11,1,22,1,5.0,3511,4100.0,40.0,3.0,7.0,1.0,12.0
11,1,24,1,7.0,7422,1900.0,40.0,3.0,7.0,1.0,16.0
11,1,27,4,7.0,3113,2800.0,40.0,3.0,2.0,1.0,15.0
11,1,39,2,7.0,3513,6000.0,30.0,4.0,8.0,,16.0
11,1,34,4,5.0,2356,2000.0,40.0,3.0,9.0,1.0,12.0
11,2,32,4,5.0,2166,2000.0,44.0,6.0,7.0,,12.0
11,1,46,4,5.0,2166,2000.0,44.0,6.0,7.0,,12.0
11,1,24,4,5.0,7422,1800.0,44.0,3.0,7.0,2.0,12.0
11,1,26,4,5.0,3521,2000.0,44.0,6.0,5.0,,12.0
11,1,42,1,5.0,3114,4500.0,48.0,3.0,2.0,1.0,12.0
11,1,30,4,5.0,7422,1500.0,40.0,3.0,10.0,2.0,12.0
11,1,33,1,7.0,3513,17000.0,40.0,4.0,8.0,,16.0
11,1,26,4,4.0,7421,2000.0,40.0,3.0,4.0,1.0,10.0
12,1,34,1,7.0,2529,5200.0,36.0,4.0,8.0,2.0,16.0
12,1,22,4,7.0,3513,1500.0,40.0,3.0,9.0,1.0,16.0
12,2,58,4,5.0,4131,2500.0,40.0,4.0,8.0,,12.0
12,1,44,4,7.0,3513,4000.0,48.0,3.0,7.0,2.0,16.0
12,2,33,4,5.0,3113,2000.0,40.0,3.0,2.0,1.0,12.0
12,1,33,4,5.0,3513,2000.0,40.0,3.0,10.0,2.0,12.0
12,1,53,4,6.0,3114,3000.0,44.0,4.0,7.0,,14.0
12,1,47,2,7.0,2166,2000.0,40.0,4.0,8.0,1.0,16.0
12,1,38,4,7.0,3113,2500.0,40.0,3.0,2.0,1.0,16.0
12,1,23,5,5.0,3113,1600.0,40.0,3.0,7.0,1.0,12.0
12,1,21,1,6.0,3511,800.0,24.0,4.0,9.0,2.0,15.0
12,1,36,4,7.0,3513,3000.0,40.0,4.0,9.0,,16.0
12,1,49,4,7.0,3513,9800.0,40.0,4.0,8.0,,16.0
12,1,28,2,5.0,7422,1412.0,40.0,3.0,7.0,1.0,12.0
12,1,45,2,2.0,7422,2000.0,40.0,3.0,7.0,1.0,4.0
12,1,31,4,7.0,3513,5500.0,40.0,4.0,9.0,,16.0
12,1,40,2,5.0,7422,2200.0,40.0,6.0,10.0,,12.0
12,2,32,1,7.0,4132,5000.0,28.0,4.0,8.0,1.0,16.0
12,1,31,1,7.0,2511,10154.0,40.0,4.0,9.0,,16.0
12,1,61,1,5.0,3113,2000.0,40.0,3.0,7.0,1.0,12.0
12,1,21,4,6.0,3513,2300.0,44.0,3.0,7.0,1.0,13.0
12,1,40,4,7.0,3113,1320.0,40.0,3.0,7.0,1.0,16.0
12,1,20,2,3.0,7422,1320.0,40.0,3.0,10.0,1.0,9.0
12,1,26,4,3.0,7422,1500.0,40.0,3.0,10.0,2.0,9.0
12,1,24,1,4.0,7422,1412.0,44.0,3.0,7.0,1.0,12.0
12,1,41,2,2.0,7422,2700.0,44.0,3.0,7.0,1.0,6.0
12,1,37,4,5.0,2166,1600.0,40.0,6.0,7.0,,12.0
12,1,41,4,7.0,3113,2000.0,44.0,3.0,2.0,1.0,16.0
12,1,25,4,5.0,7422,3530.0,40.0,3.0,7.0,1.0,12.0
12,1,24,4,5.0,7422,1412.0,40.0,3.0,7.0,1.0,12.0
12,1,54,4,7.0,3513,11000.0,30.0,4.0,8.0,,15.0
12,1,33,4,5.0,3521,2500.0,40.0,3.0,7.0,1.0,12.0
12,1,31,4,5.0,7422,500.0,40.0,6.0,10.0,,12.0
12,2,41,4,7.0,7422,3000.0,40.0,5.0,10.0,,16.0
12,1,44,4,3.0,7422,1000.0,44.0,3.0,10.0,2.0,9.0
