Estado,Gênero,Idade,Cor_Raça,Nível_Educação,Código_Ocupação_TI,Renda_Mensal,Horas_Trabalhadas_Semana,Posição_Ocupacional,Atividade_Principal,Carteira_Assinada,Anos_Estudo
11,1,43,1,7.0,2151,5800.0,40.0,3.0,7.0,1.0,16.0
11,1,41,1,3.0,7422,3000.0,8.0,6.0,10.0,,9.0
11,1,54,1,7.0,3113,1700.0,40.0,6.0,3.0,,16.0
11,1,49,2,5.0,3113,2800.0,44.0,3.0,4.0,1.0,12.0
11,1,33,4,7.0,2511,5000.0,40.0,4.0,8.0,,16.0
11,1,24,4,6.0,3114,1600.0,44.0,3.0,5.0,1.0,13.0
11,1,44,4,7.0,1330,6000.0,44.0,4.0,8.0,1.0,16.0
11,1,28,4,4.0,3521,800.0,12.0,6.0,6.0,,11.0
11,2,29,4,5.0,3113,1320.0,44.0,3.0,2.0,1.0,13.0
11,1,36,4,5.0,3522,2200.0,44.0,3.0,7.0,1.0,13.0
11,1,21,1,4.0,3513,1400.0,44.0,3.0,7.0,2.0,10.0
11,1,28,4,7.0,2166,2500.0,40.0,6.0,7.0,,16.0
11,1,65,2,2.0,7421,0.0,10.0,6.0,10.0,,4.0
11,1,43,4,7.0,3521,2000.0,48.0,6.0,2.0,,16.0
11,1,30,4,5.0,7422,1600.0,44.0,6.0,10.0,,12.0
11,1,28,4,5.0,3113,3000.0,40.0,3.0,7.0,1.0,12.0
11,1,27,1,4.0,3513,1320.0,40.0,3.0,7.0,1.0,11.0
11,1,28,1,6.0,3513,5000.0,30.0,4.0,8.0,,16.0
11,1,32,1,7.0,2512,7000.0,44.0,3.0,4.0,1.0,16.0
11,1,26,4,5.0,3114,15000.0,8.0,3.0,7.0,2.0,13.0
11,1,21,4,4.0,7422,1320.0,44.0,3.0,7.0,1.0,11.0
11,1,53,4,5.0,3113,2500.0,44.0,3.0,2.0,1.0,12.0
11,1,22,1,6.0,3513,3100.0,44.0,3.0,7.0,1.0,14.0
11,1,24,1,7.0,3513,2600.0,36.0,3.0,7.0,1.0,16.0
11,1,20,4,5.0,2166,2000.0,44.0,6.0,7.0,,12.0
11,1,55,1,5.0,3514,3000.0,40.0,6.0,7.0,,12.0
11,1,30,4,5.0,3513,1500.0,44.0,3.0,4.0,1.0,12.0
